ConceptA,ConceptB,Probability
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/RacingDriver,0.00996503466136773
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/TennisPlayer,0.01671145171291946
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/WinterSportPlayer,0.05299341859572391
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Canoeist,0.0008823841045798861
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/FigureSkater,0.008486867588538038
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Jockey,0.0015893335741940862
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SumoWrestler,0.0009692329337708199
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Rower,0.0004585618181281298
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/RugbyPlayer,0.04198098705431352
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/AmateurBoxer,0.0009553371211002704
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Boxer,0.011827073559221348
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/PokerPlayer,0.001287099648609637
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/FormulaOneRacer,0.001495536838667878
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/AustralianRulesFootballPlayer,0.024216927531599947
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BeachVolleyballPlayer,0.0004394550757061244
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/DartsPlayer,0.0015980184571131797
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/LacrossePlayer,0.0008129050412271393
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Sailor,0.002654100220074933
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SnookerPlayer,0.0011238238497306818
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/TableTennisPlayer,0.0013704745246329334
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BadmintonPlayer,0.0052769348616411305
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Curler,0.00447792563308454
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/GaelicGamesPlayer,0.008356594344751639
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Bodybuilder,0.0005662543663248876
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Swimmer,0.01769284348277701
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/MartialArtist,0.008702252684931555
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/BaseballPlayer,0.048454698782205714
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/ChessPlayer,0.005766762258277996
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Cyclist,0.028083437407180313
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Gymnast,0.006466763821556922
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/IceHockeyPlayer,0.033393374823913996
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Skater,0.0032429352819894636
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/SpeedwayRider,0.0026454153371558396
http://dbpedia.org/ontology/Presenter,http://dbpedia.org/ontology/TelevisionHost,0.2698650674662669
http://dbpedia.org/ontology/Writer,http://dbpedia.org/ontology/Poet,0.004802457613936849
http://dbpedia.org/ontology/Writer,http://dbpedia.org/ontology/ScreenWriter,0.015846165811168145
http://dbpedia.org/ontology/Writer,http://dbpedia.org/ontology/Historian,0.01952092082750039
http://dbpedia.org/ontology/Royalty,http://dbpedia.org/ontology/Baronet,0.00515209892029927
